feature,importance
PTAU_217_CONCNTRTN,0.18323597582729223
CDRSUM,0.16804408442844815
CDRGLOB,0.15042544985057804
MMSE,0.13040566138154633
HVLT_DR,0.1147351400692212
LASSI_B_CR1,0.11422895948551873
LASSI_A_CR2,0.1077927904348236
AMYLPET,0.03113193852257182
